TDA,NTCC,EP,L,C,CostoTotale,Energy,EnergyTC,CF,2,3,4,5,6,7,8,9,10,11,
1.000000,0.916667,0.138889,1.000000,0.250500,1002.000000,1.000000,1.000000,0.461211,0,2,1,2,4,2,0,4,1,3,
1.000000,0.916667,0.212963,1.000000,0.250250,1001.000000,1.000000,1.000000,0.475976,2,4,4,3,4,3,1,3,2,4,
1.000000,0.916667,0.134259,1.000000,0.250500,1002.000000,1.000000,1.000000,0.460285,0,4,0,3,2,2,1,4,0,3,
1.000000,0.666667,0.134259,1.000000,0.250500,1002.000000,1.000000,1.000000,0.410285,4,2,3,1,4,2,0,1,3,1,
1.000000,0.833333,0.180556,1.000000,0.225500,902.000000,1.000000,1.000000,0.447878,0,0,2,1,4,1,4,2,2,4,
1.000000,0.916667,0.157407,1.000000,0.250500,1002.000000,1.000000,1.000000,0.464915,1,4,3,3,3,0,2,1,1,2,
1.000000,0.750000,0.268519,1.000000,0.225500,902.000000,1.000000,1.000000,0.448804,0,1,4,0,4,0,2,4,4,0,
1.000000,0.833333,0.175926,1.000000,0.250250,1001.000000,1.000000,0.000535,0.252009,2,1,3,4,2,4,3,1,1,2,
1.000000,0.833333,0.152778,1.000000,0.250500,1002.000000,1.000000,1.000000,0.447322,0,2,1,0,2,1,2,4,3,1,
1.000000,0.750000,0.217593,1.000000,0.250250,1001.000000,1.000000,1.000000,0.443569,3,0,4,4,0,3,4,4,2,3,
1.000000,0.833333,0.166667,1.000000,0.250500,1002.000000,1.000000,1.000000,0.450100,4,1,4,4,0,3,3,3,2,1,
1.000000,0.583333,0.236111,1.000000,0.250250,1001.000000,1.000000,1.000000,0.413939,2,2,0,4,0,2,0,4,3,0,
1.000000,0.833333,0.134259,1.000000,0.250500,1002.000000,1.000000,1.000000,0.443619,0,1,2,4,0,2,4,2,3,3,
1.000000,0.916667,0.268518,1.000000,0.225250,901.000000,1.000000,1.000000,0.482087,2,0,4,4,4,0,2,0,0,4,
1.000000,0.916667,0.175926,1.000000,0.250500,1002.000000,1.000000,1.000000,0.468619,1,3,4,2,4,1,4,4,0,3,
1.000000,0.916667,0.250000,1.000000,0.250250,1001.000000,1.000000,0.000354,0.283454,2,3,1,4,4,4,4,4,1,2,
1.000000,0.833333,0.263889,1.000000,0.250250,1001.000000,1.000000,1.000000,0.469494,4,3,2,4,4,2,4,2,2,1,
1.000000,0.750000,0.199074,1.000000,0.050500,202.000000,1.000000,1.000000,0.399915,3,3,1,2,2,0,0,2,2,1,
1.000000,0.916667,0.125000,1.000000,0.250500,1002.000000,1.000000,1.000000,0.458433,2,4,1,0,3,2,4,2,3,0,
1.000000,0.916667,0.175926,1.000000,0.250500,1002.000000,1.000000,1.000000,0.468619,2,3,1,4,2,2,3,3,4,0,
1.000000,0.833333,0.120370,1.000000,0.250500,1002.000000,1.000000,1.000000,0.440841,4,3,1,1,2,0,3,3,2,0,
1.000000,0.916667,0.217593,1.000000,0.225500,902.000000,1.000000,1.000000,0.471952,1,1,4,4,2,0,1,1,4,2,
1.000000,1.000000,0.291667,1.000000,0.225250,901.000000,1.000000,0.000438,0.303471,4,1,2,2,1,4,4,4,4,1,
1.000000,0.750000,0.236111,1.000000,0.050500,202.000000,1.000000,1.000000,0.407322,2,0,1,0,1,3,0,0,3,0,
1.000000,0.916667,0.175926,1.000000,0.250500,1002.000000,1.000000,1.000000,0.468619,2,4,3,2,0,2,4,4,1,3,
1.000000,0.833333,0.208333,1.000000,0.225500,902.000000,1.000000,1.000000,0.453433,1,0,0,3,4,3,4,0,4,0,
1.000000,0.833333,0.157407,1.000000,0.250500,1002.000000,1.000000,1.000000,0.448248,1,3,0,4,0,2,3,3,4,3,
1.000000,0.916667,0.157407,1.000000,0.250500,1002.000000,1.000000,1.000000,0.464915,0,1,3,3,0,3,1,4,4,2,
1.000000,0.583333,0.518519,1.000000,0.200500,802.000000,1.000000,1.000000,0.460470,0,0,4,0,0,0,0,1,0,4,
1.000000,1.000000,0.115741,1.000000,0.250500,1002.000000,1.000000,1.000000,0.473248,1,4,0,2,3,0,1,3,0,2,
1.000000,0.583333,0.305556,1.000000,0.250500,1002.000000,1.000000,1.000000,0.427878,2,0,3,2,4,1,2,2,2,2,
1.000000,0.916667,0.143519,1.000000,0.250500,1002.000000,1.000000,1.000000,0.462137,1,2,4,0,4,0,2,4,3,2,
1.000000,0.666667,0.157407,1.000000,0.250500,1002.000000,1.000000,0.000477,0.215010,1,0,3,3,2,4,3,3,2,4,
1.000000,0.833333,0.185185,1.000000,0.250500,1002.000000,1.000000,1.000000,0.453804,0,1,1,0,0,2,3,3,4,1,
1.000000,0.750000,0.231482,1.000000,0.250250,1001.000000,1.000000,1.000000,0.446346,2,2,3,3,4,3,3,1,4,2,
1.000000,0.833333,0.189815,1.000000,0.225500,902.000000,1.000000,1.000000,0.449730,1,2,4,4,0,1,0,4,1,0,
1.000000,0.833333,0.148148,1.000000,0.250500,1002.000000,1.000000,1.000000,0.446396,0,3,1,1,0,2,1,4,2,0,
1.000000,0.833333,0.148148,1.000000,0.250500,1002.000000,1.000000,1.000000,0.446396,2,1,3,0,4,2,0,0,1,2,
1.000000,0.833333,0.171296,1.000000,0.250500,1002.000000,1.000000,1.000000,0.451026,4,2,4,3,3,0,1,4,1,4,
1.000000,0.916667,0.171296,1.000000,0.250500,1002.000000,1.000000,1.000000,0.467693,4,3,2,2,1,2,1,2,3,0,
